age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,ground_truth,transcription,language detected
27.0,9.0,"virginia, south africa",afrikaans1,afrikaans,female,1,south africa,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store, six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
40.0,5.0,"pretoria, south africa",afrikaans2,afrikaans,male,2,south africa,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother, Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
43.0,4.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,418,south africa,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
26.0,8.0,"pretoria, south africa",afrikaans4,afrikaans,male,1159,south africa,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
19.0,6.0,"cape town, south africa",afrikaans5,afrikaans,male,1432,south africa,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store, 6 spoons of fresh no peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go and meet her Wednesday at the train station.
",en
25.0,15.0,"diekabo, ivory coast",agni1,agni,male,3,ivory coast,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring this thing with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snake for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop this thing into three red bags and we will go meet her Wednesday at the train station.
",en
41.0,5.0,"accra, ghana",akan1,akan,male,979,ghana,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas. Five thick slabs of blue cheese. And maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags. And we'll go meet her Wednesday at the train station.
",en
19.0,6.0,"prishtina, kosovo",albanian1,albanian,male,4,kosovo,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
",en
33.0,15.0,"tirana, albania",albanian2,albanian,male,5,albania,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
44.0,35.0,"tirana, albania",albanian3,albanian,male,458,albania,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snot peas, five thick slabs of blue cheese and maybe a snack of her brother, Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we'll go meet her Wednesday at the train station.
",en
33.0,28.0,"mitrovice, kosovo",albanian4,albanian,male,868,kosovo,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station. For more information visit www.FEMA.gov
",en
31.0,11.0,"vlore, albania",albanian5,albanian,male,946,albania,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for Brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
39.0,16.0,"ouarzazat, morocco",amazigh2,amazigh,male,1498,morocco,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
",en
20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call still, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slices of blue cheese and maybe snack for her brother Paul. We also need a small plastic snack and big toy for the kid. She can scoop these things into three red bags and we will go meet her when we stay at the train station.
",en
23.0,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring those things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snacks and snack and big toy frog for the kids. She can copy these things into, she can copy, scope these things into three red bags and we will go meet her Wednesday at the train station.
",en
27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Seta, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five ticks slab of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snack and big toy frog for her kids. The scanner scoops these things into three red bags and we will go meet her Wednesday at the train station.
",en
20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Setella. Ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snake of her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scope these things into 3 red bags and we will go meet her Wednesday at the train station.
",en
31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scope these things into 3 red bags and will go meet her Wednesday at the train station.
",en
18.0,2.5,"damascus, syria",arabic2,arabic,male,16,syria,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into the three red bags and we will go meet her Wednesday at the train station.
",en
19.0,15.0,"casablanca, morocco",arabic5,arabic,female,19,morocco,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store, six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at this train station.
",en
19.0,9.0,"yerevan, armenia",armenian1,armenian,female,24,armenia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring this thing with her from the store. 6 spoons of fresh no-pins, 5 thick slabs of blue cheese and maybe a snake for her brother Bob. We also need a small plastic snake and big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
",en
44.0,7.0,"tehran, iran",armenian2,armenian,female,435,iran,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. 6 spoons of fresh snows peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
",en
54.0,12.0,"yerevan, armenia",armenian3,armenian,female,849,armenia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons for fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
