filename,transcription
hebrew4,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
"
hausa4,"Umayeri jele Satela siuku haletu tuji leapati ni ya hasana 6 Syingi uleesha 5 na 6 tumi apyinge na harifu na kulaka lsadhu kababu Iko mungu Hulaji na mwanzi ya shika si'asha wewu kolom'i wengine maendu na namuastele hawa wanaasha na tabala
"
hebrew5,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
"
hausa5,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
"
hungarian3,"Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
"
hindi4,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
"
indonesian2,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snake for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
"
italian2,"please call Stella ask her to bring these things with her from the story six spoons of fresh snow peas, five thin slabs of blue cheese and maybe a snack for her brother Bob we also need a small plastic snack and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her Wednesday at the train station
"
indonesian1,"Please call Stella. Ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe snack for her brother Bob. We also need a small plastic and snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
"
indonesian4,"Please call Stella, ask her to bring these things with her from the store, 6 spoons of fresh snow peas, 5 thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
"
igbo1,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five sticks stuffed for blue cheese and maybe a snack of her brother's bulb. We also need a small plastic snack and a big toy from a big toy from this kid. She can she can cup these things into the into the red bags and we will go meet her when I say at the rain station.
"
